VehicleID,VIN,Make,Model,Segment,Year,Trim,Color,FuelType,PurchaseCost,MSRP,Status,DealershipID,DaysOnLot
200001,KH1Z6CPAHTAGYUHW3,Fabrikam Auto,Pulse,Sedan,2024,Base,Grey,Petrol,23402.93,29620.74,In Stock,1035,23
200002,PKH2DNMMJBSE7CKX6,Contoso Motors,Aster,Sedan,2025,Sport,Grey,Petrol,20844.5,23612.01,In Transit,1046,46
200003,0BHKCHDKXNNGJ7YXF,Northwind,Summit,SUV,2024,Limited,White,Petrol,33919.12,38563.22,Sold,1023,19
200004,N9YVZ42HBLJG85LYP,Northwind,Cruze,Sedan,2026,Sport,Blue,Petrol,38004.02,44276.4,In Transit,1042,30
200005,E1U1RWM9ET15FFZWN,Contoso Motors,Nova,Sedan,2023,Sport,Silver,Petrol,29292.99,36868.12,Demo,1044,72
200006,95A0ZUJYDRR85JTF7,Contoso Motors,Nova,Sedan,2024,Limited,Silver,Petrol,33859.43,38765.78,Demo,1016,38
200007,GNF877WTDM93HHVC1,Fabrikam Auto,Atlas,SUV,2024,Limited,Red,Petrol,47682.11,55728.46,In Transit,1028,23
200008,EY8FUX871Z0PZN6RJ,Contoso Motors,Aster X,SUV,2025,Limited,Green,Petrol,44182.8,49947.54,Sold,1001,27
200009,WHHCXH65CHZHE7VS2,Contoso Motors,Aster X,SUV,2023,Premium,Black,Petrol,27598.0,35552.59,Demo,1001,51
200010,DRPS1Z9DPM5JGRPKJ,Fabrikam Auto,Roamer,SUV,2024,Sport,Black,Petrol,29725.58,35197.32,In Stock,1037,83
200011,5VB94875FTHPBN9J2,Contoso Motors,Aster X,SUV,2023,Touring,Green,Petrol,24688.35,29034.84,Sold,1005,41
200012,Z12YTGHB1CLBS7UBT,Fabrikam Auto,Roamer,SUV,2023,Premium,Blue,Petrol,35830.33,42700.11,Demo,1010,18
200013,C5P8VWBCYVLJZLJEY,Northwind,Cruze,Sedan,2024,Base,Red,Petrol,16234.24,20910.0,Demo,1032,17
200014,7AXVDUTEMCJKRUK93,Contoso Motors,Nova,Sedan,2025,Premium,Green,Petrol,16522.93,20247.85,In Transit,1027,53
200015,3KY7EDDVJW0GXJT64,Fabrikam Auto,Cargo,Truck,2025,Base,Grey,Diesel,29671.81,37565.01,Demo,1043,52
200016,KA2YJ1VRAC66V4WEE,Northwind,Breeze,Hatch,2024,Touring,Green,Petrol,13836.73,15748.14,In Stock,1002,39
200017,9BMZZMV5917HF3FPF,Fabrikam Auto,Atlas,SUV,2024,Premium,Green,Petrol,43107.7,51271.07,In Stock,1010,27
200018,Z1JF0NBSG7M45HYPK,Contoso Motors,Voltis X,EV,2025,Touring,Green,Electric,46379.23,59270.1,Reserved,1036,63
200019,YP9U7D9F8JDR1LXTN,Northwind,Breeze,Hatch,2025,Premium,Silver,Petrol,18312.67,22384.19,Demo,1035,0
200020,BRU3Z81GR87XYE6TZ,Fabrikam Auto,Cargo,Truck,2024,Sport,Silver,Diesel,57590.35,73399.72,In Transit,1013,11
200021,KEP8Z6XKVAKRWYSRH,Contoso Motors,Voltis X,EV,2024,Touring,Grey,Electric,43518.06,52629.92,In Stock,1025,36
200022,CUXM41ZHGAJS5CPXG,Contoso Motors,Nova,Sedan,2026,Sport,Grey,Petrol,18191.54,21420.11,Sold,1014,63
200023,JYA12DRF8UBJ4S3Z9,Fabrikam Auto,Roamer,SUV,2025,Touring,Blue,Petrol,24331.73,27653.18,In Stock,1012,70
200024,6X0T4V61SJJY2UXKC,Fabrikam Auto,Cargo,Truck,2026,Premium,Green,Diesel,28373.97,34304.01,Demo,1039,61
200025,M6CENFHPLSC4N28A6,Contoso Motors,Voltis,EV,2025,Sport,Silver,Electric,43868.49,54706.19,Sold,1012,44
200026,8KN64U136TKTNZ304,Northwind,Eon,EV,2025,Touring,Black,Electric,34090.71,40615.58,Sold,1027,44
200027,APVAYESBNGL2N14JC,Contoso Motors,Luma,Hatch,2023,Limited,Red,Petrol,25431.12,30196.12,Demo,1001,49
200028,9MY2Y18GAFEZVH02F,Fabrikam Auto,Pulse,Sedan,2024,Limited,Black,Petrol,34082.75,41127.66,Sold,1044,37
200029,DALZ8P0CZXD25WD92,Contoso Motors,Aster X,SUV,2026,Sport,Silver,Petrol,25247.28,30515.69,Reserved,1013,81
200030,YCYAPTRM6SFFUYX72,Fabrikam Auto,Atlas,SUV,2026,Limited,Blue,Petrol,46010.14,57171.61,Demo,1028,53
200031,1J54C6JSXNA5GG3M6,Contoso Motors,Nova,Sedan,2024,Touring,Green,Petrol,38215.11,44338.98,In Transit,1006,43
200032,UGHPVHS0RAKPJYNVM,Contoso Motors,Voltis,EV,2022,Limited,Black,Electric,55321.21,71112.14,Sold,1036,51
200033,RLH0L18ZG1KW2W94K,Northwind,Summit,SUV,2025,Premium,Grey,Petrol,42244.28,52604.05,Demo,1031,19
200034,AUK9V0E5T5VSRGB8S,Fabrikam Auto,Atlas,SUV,2026,Sport,Silver,Petrol,53045.44,59963.39,Sold,1038,80
200035,CXBEVL9D2X3HURR59,Fabrikam Auto,Pulse,Sedan,2024,Touring,Blue,Petrol,20686.0,24894.89,In Stock,1028,50
200036,B8D2XJCHVFPZSBKK5,Contoso Motors,Voltis,EV,2026,Limited,Red,Electric,48066.27,55241.17,In Stock,1046,88
200037,2XY7RUY64CFL1VKEZ,Northwind,Breeze,Hatch,2024,Sport,Silver,Petrol,20305.9,26102.26,Demo,1010,40
