SaleID,Date,VehicleID,DealershipID,CustomerID,Salesperson,SalePrice,Discount,FinanceType,WarrantySold,TradeInFlag,LeadSource
500001,2025-04-13,203107,1011,303590,N. Lee,37625.64,3351.7,Bank Loan,False,True,Walk-in
500002,2026-01-01,206162,1033,305363,K. Johnson,59222.09,1985.67,Manufacturer Finance,True,False,Referral
500003,2024-12-07,201868,1035,306186,C. White,42440.36,315.65,Cash,True,False,Referral
500004,2024-08-04,203239,1027,304720,S. Kumar,43306.37,529.05,Bank Loan,False,False,Referral
500005,2025-03-21,205510,1021,301292,S. Kumar,28799.16,1568.59,Bank Loan,True,False,Referral
500006,2025-02-04,206168,1033,306794,S. Kumar,53184.49,2169.27,Manufacturer Finance,False,False,Campaign
500007,2025-05-11,202143,1044,306413,K. Johnson,38826.39,2609.61,Cash,True,True,Website
500008,2024-07-11,202458,1034,305517,K. Johnson,34150.67,4393.57,Lease,False,False,Referral
500009,2024-10-09,206048,1014,303212,K. Johnson,47082.97,2624.89,Bank Loan,True,False,Walk-in
500010,2024-11-10,203245,1018,304696,S. Kumar,33076.99,967.77,Bank Loan,True,False,Call Centre
500011,2024-05-18,202104,1015,305635,C. White,46650.07,3337.7,Bank Loan,True,False,Campaign
500012,2024-10-06,202953,1004,306366,R. Singh,28553.87,1653.04,Manufacturer Finance,True,False,Walk-in
500013,2025-05-25,206342,1024,304224,J. Smith,47655.07,2132.51,Manufacturer Finance,False,False,Website
500014,2024-03-29,200218,1041,303664,M. Wilson,56065.32,3952.16,Manufacturer Finance,True,False,Website
500015,2025-05-04,200231,1018,302913,P. Clark,28991.76,1707.78,Bank Loan,False,False,Campaign
500016,2024-04-05,202288,1007,306990,S. Kumar,29858.24,1000.69,Bank Loan,True,False,Walk-in
500017,2024-01-07,201406,1034,301226,K. Johnson,59144.87,4065.19,Cash,True,False,Website
500018,2025-03-30,200682,1019,302659,K. Johnson,46937.9,876.91,Manufacturer Finance,True,False,Website
500019,2025-01-24,201833,1010,306624,R. Singh,60641.15,4851.71,Cash,False,False,Website
500020,2024-06-07,200933,1007,300081,M. Wilson,30552.41,3100.48,Bank Loan,True,False,Marketplace
500021,2025-07-11,205317,1042,304665,C. White,17365.83,1538.63,Lease,False,True,Website
500022,2024-05-21,202292,1019,304389,A. Brown,42800.33,3791.41,Cash,True,False,Marketplace
500023,2025-08-23,203007,1027,306199,M. Wilson,32938.14,1707.83,Cash,True,True,Referral
500024,2024-02-27,201774,1036,304743,H. Martin,40898.5,4076.69,Manufacturer Finance,False,False,Campaign
500025,2024-05-16,201653,1032,304978,N. Lee,37809.43,864.9,Manufacturer Finance,False,True,Website
500026,2025-11-28,204473,1038,306330,R. Singh,57351.79,4812.26,Bank Loan,True,False,Call Centre
500027,2025-09-21,201057,1012,304559,H. Martin,42127.59,3291.56,Lease,True,False,Walk-in
500028,2024-12-27,202314,1014,306020,N. Lee,34220.68,3046.22,Lease,True,False,Website
500029,2026-01-01,204190,1040,304770,C. White,26822.65,1096.58,Bank Loan,True,False,Campaign
500030,2024-11-01,203415,1029,300565,L. Taylor,41002.47,2932.12,Bank Loan,True,True,Walk-in
500031,2024-07-08,205329,1017,300995,C. White,39303.88,3693.43,Bank Loan,True,True,Website
500032,2024-06-20,202641,1029,302375,N. Lee,20361.1,68.76,Manufacturer Finance,True,True,Campaign
500033,2024-02-14,206253,1045,303751,L. Taylor,61146.94,7461.92,Manufacturer Finance,True,False,Walk-in
500034,2025-11-06,200492,1045,305129,K. Johnson,18901.26,2355.24,Manufacturer Finance,True,False,Campaign
500035,2025-10-25,204254,1024,300571,D. Patel,38061.36,2870.84,Bank Loan,True,False,Website
500036,2026-01-20,201892,1046,303367,M. Wilson,27251.16,545.12,Bank Loan,True,False,Campaign
500037,2025-07-26,203051,1017,306858,R. Singh,39276.0,3610.16,Manufacturer Finance,False,False,Marketplace
500038,2024-07-01,203316,1041,305026,J. Smith,25157.39,2295.84,Manufacturer Finance,True,False,Website
500039,2025-11-12,203448,1039,304239,P. Clark,49408.87,522.08,Manufacturer Finance,True,False,Call Centre
500040,2025-04-13,205587,1014,301891,M. Wilson,23847.47,2163.13,Bank Loan,True,False,Referral
500041,2025-02-21,202446,1002,305920,H. Martin,40470.67,2207.84,Bank Loan,True,False,Call Centre
500042,2024-02-07,200097,1002,301685,H. Martin,47554.96,783.45,Manufacturer Finance,True,False,Website
500043,2025-09-21,203886,1025,304247,H. Martin,29630.62,3262.8,Lease,True,True,Walk-in
500044,2024-08-23,201488,1013,306649,P. Clark,33029.49,3112.8,Bank Loan,False,True,Website
500045,2025-04-05,200032,1036,304599,J. Smith,68874.68,2424.7,Manufacturer Finance,True,False,Marketplace
500046,2025-02-07,201322,1029,302566,A. Brown,34409.38,3305.04,Cash,False,False,Website
500047,2025-02-11,205179,1030,304381,N. Lee,41500.91,534.48,Lease,True,False,Website
500048,2024-03-11,204424,1018,305638,K. Johnson,40182.89,2748.45,Bank Loan,True,False,Marketplace
500049,2024-08-22,200402,1039,300322,L. Taylor,67269.91,2685.19,Manufacturer Finance,True,True,Call Centre
500050,2026-01-11,205989,1022,301268,K. Johnson,19237.82,2013.73,Manufacturer Finance,True,False,Call Centre
500051,2025-03-31,203683,1001,305436,C. White,42574.17,4445.64,Manufacturer Finance,True,False,Website
500052,2024-10-13,204076,1034,305968,P. Clark,47780.13,2632.18,Lease,True,True,Referral
500053,2024-03-08,204323,1023,306686,A. Brown,53878.98,3730.0,Bank Loan,True,False,Call Centre
500054,2024-06-22,202997,1035,300293,R. Singh,38852.34,5139.67,Cash,True,False,Marketplace
500055,2024-12-17,205284,1038,304520,J. Smith,54285.89,6748.51,Bank Loan,True,False,Website
500056,2025-11-29,204140,1046,305370,D. Patel,38247.71,819.66,Lease,True,False,Website
500057,2024-10-28,201499,1019,306997,K. Johnson,29148.65,2939.36,Cash,False,True,Campaign
500058,2024-03-12,204251,1006,300456,P. Clark,24561.39,1349.86,Bank Loan,False,True,Walk-in
500059,2024-03-12,205410,1039,302912,N. Lee,52564.95,3050.33,Cash,True,False,Website
500060,2026-02-24,206131,1030,302900,K. Johnson,43076.67,603.45,Bank Loan,False,False,Campaign
500061,2024-09-16,203810,1030,302831,P. Clark,33643.76,664.54,Lease,True,False,Walk-in
500062,2026-01-11,202803,1009,300070,J. Smith,56420.57,6981.33,Bank Loan,True,False,Referral
500063,2025-02-11,200240,1021,304616,C. White,51287.27,3977.47,Bank Loan,True,False,Marketplace
500064,2025-01-24,201298,1046,305586,L. Taylor,35318.45,917.45,Lease,False,True,Call Centre
500065,2024-12-10,205968,1031,304368,R. Singh,62911.34,2335.87,Bank Loan,False,False,Walk-in
500066,2024-05-08,200512,1027,302729,J. Smith,46245.26,2485.31,Cash,True,True,Call Centre
500067,2024-07-19,200024,1039,304193,N. Lee,31766.12,2698.95,Cash,True,False,Referral
500068,2025-01-23,205850,1007,302329,S. Kumar,17075.11,583.66,Manufacturer Finance,True,True,Referral
500069,2024-02-12,202717,1017,301808,M. Wilson,53513.98,464.9,Bank Loan,False,True,Referral
500070,2024-08-23,205653,1030,304363,S. Kumar,40188.75,2032.29,Bank Loan,True,False,Marketplace
500071,2026-02-21,203289,1020,306604,N. Lee,41458.86,2189.32,Bank Loan,False,False,Campaign
500072,2026-01-17,201047,1033,300611,H. Martin,37478.14,4925.06,Lease,True,False,Website
500073,2026-01-22,203957,1026,300109,D. Patel,35368.21,3310.94,Cash,True,True,Marketplace
500074,2025-02-22,205756,1024,304454,C. White,53461.04,5588.05,Manufacturer Finance,True,False,Campaign
500075,2025-07-10,202837,1040,300746,J. Smith,38981.68,3727.77,Lease,True,False,Website
500076,2024-07-31,206280,1035,300293,P. Clark,34997.35,47.8,Manufacturer Finance,False,False,Campaign
500077,2025-03-15,203045,1039,306470,K. Johnson,25260.86,1681.86,Bank Loan,True,False,Website
500078,2025-10-20,205038,1028,301730,H. Martin,35528.78,2220.37,Cash,False,True,Website
500079,2025-09-07,202800,1021,302925,M. Wilson,28071.28,2424.0,Lease,True,False,Website
500080,2024-08-29,201696,1039,303409,D. Patel,27281.82,1939.88,Bank Loan,True,False,Marketplace
500081,2025-08-25,205029,1030,301403,D. Patel,62861.39,2191.81,Cash,True,False,Walk-in
500082,2025-07-27,203241,1033,300071,C. White,47967.84,2267.3,Manufacturer Finance,False,True,Walk-in
500083,2024-05-17,206417,1013,306317,R. Singh,40652.84,989.15,Manufacturer Finance,True,False,Walk-in
500084,2025-10-20,204906,1016,300772,L. Taylor,21281.08,1630.52,Lease,False,False,Walk-in
500085,2025-09-06,202334,1013,303230,R. Singh,25634.82,957.36,Lease,False,False,Campaign
500086,2025-04-06,203411,1028,306776,A. Brown,53228.96,3833.67,Cash,True,True,Call Centre
500087,2025-11-26,203287,1022,300068,P. Clark,19735.83,1537.83,Manufacturer Finance,True,False,Website
500088,2024-11-20,202911,1025,306943,N. Lee,29067.71,3559.38,Bank Loan,True,True,Walk-in
500089,2024-04-12,200297,1045,301779,A. Brown,47834.16,4652.29,Bank Loan,False,False,Walk-in
500090,2024-12-03,201993,1019,305533,L. Taylor,52643.3,391.12,Cash,True,False,Call Centre
500091,2025-08-22,204490,1012,303951,C. White,28615.55,1043.75,Cash,True,True,Website
500092,2025-08-05,206035,1031,303482,D. Patel,41226.76,2873.09,Manufacturer Finance,True,False,Walk-in
500093,2025-01-17,205016,1031,305349,A. Brown,33723.34,214.15,Lease,True,True,Call Centre
500094,2024-09-23,204482,1029,306928,M. Wilson,38856.57,1851.91,Cash,False,False,Walk-in
500095,2025-07-02,201353,1040,301422,N. Lee,58821.32,2055.33,Manufacturer Finance,True,False,Call Centre
500096,2025-09-30,203760,1022,305162,D. Patel,42485.93,905.63,Bank Loan,False,False,Campaign
500097,2024-07-13,205177,1015,302346,J. Smith,38964.23,3862.3,Cash,True,True,Website
500098,2024-11-21,205672,1030,304827,D. Patel,34563.36,4278.32,Bank Loan,True,True,Campaign
500099,2025-05-10,204099,1015,303664,S. Kumar,15705.51,662.42,Cash,True,True,Website
500100,2024-06-19,200133,1028,306731,R. Singh,22077.68,1942.77,Lease,True,True,Marketplace
500101,2025-05-01,204330,1022,305485,K. Johnson,60078.83,8124.23,Cash,True,False,Call Centre
500102,2025-09-14,204669,1014,302060,R. Singh,18186.1,2352.28,Manufacturer Finance,True,True,Website
500103,2025-11-02,203740,1025,303826,D. Patel,46253.02,814.34,Manufacturer Finance,False,False,Walk-in
500104,2025-02-11,202023,1032,302682,S. Kumar,56897.77,2715.17,Manufacturer Finance,True,False,Call Centre
500105,2025-11-20,203134,1039,304151,N. Lee,44628.09,2025.98,Manufacturer Finance,True,False,Walk-in
500106,2026-01-14,204656,1031,304116,K. Johnson,35905.16,1541.43,Manufacturer Finance,True,False,Campaign
500107,2025-09-05,202272,1031,302995,L. Taylor,55281.34,4952.51,Bank Loan,False,False,Walk-in
500108,2025-04-29,201045,1045,304666,C. White,52796.05,4639.8,Bank Loan,False,False,Walk-in
500109,2025-07-29,203196,1028,304940,M. Wilson,38666.34,2840.06,Bank Loan,True,False,Website
500110,2026-02-12,200535,1030,304599,J. Smith,29099.42,2385.28,Manufacturer Finance,True,True,Website
500111,2025-08-12,205668,1025,300133,R. Singh,15178.54,853.77,Lease,True,False,Walk-in
500112,2024-06-26,201537,1023,304933,S. Kumar,31603.21,2758.23,Lease,True,False,Website
500113,2026-03-14,200352,1041,306914,A. Brown,14477.89,1766.2,Lease,False,False,Marketplace
500114,2025-03-23,206195,1012,306172,J. Smith,24225.4,1149.23,Cash,False,False,Website
500115,2026-01-18,205716,1007,306404,R. Singh,66423.68,4480.34,Manufacturer Finance,False,False,Campaign
500116,2025-08-15,206392,1028,301691,C. White,35784.82,3561.3,Lease,True,False,Marketplace
500117,2025-01-11,204410,1021,303923,J. Smith,39810.75,3574.29,Bank Loan,True,False,Campaign
500118,2025-03-17,202408,1008,300526,L. Taylor,19017.29,2381.43,Bank Loan,True,False,Walk-in
500119,2025-10-02,203308,1044,305783,R. Singh,45145.17,1448.91,Lease,False,True,Call Centre
500120,2024-10-12,204804,1004,303993,L. Taylor,40060.45,1806.18,Lease,False,True,Campaign
500121,2025-09-17,201269,1004,302753,M. Wilson,45760.18,636.18,Bank Loan,True,True,Walk-in
